3600,TA,30,20,0,2084.0,3600.9553,2
3600,TA,30,20,1,1981.0,3600.9533,2
3600,TA,30,20,2,1922.0,3600.995,2
3600,TA,30,20,3,2013.0,3601.1226,2
3600,TA,30,20,4,1997.0,618.7839,4
3600,TA,30,20,5,2056.0,3601.2307,2
3600,TA,30,20,6,1968.0,3600.9519,2
3600,TA,30,20,7,2003.0,3601.2053,2
3600,TA,30,20,8,2020.0,3601.0538,2
3600,TA,30,20,9,1974.0,3601.0939,2
3600,TA,50,15,0,2760.0,223.7437,4
3600,TA,50,15,1,2756.0,125.7038,4
3600,TA,50,15,2,2717.0,5.3434,4
3600,TA,50,15,3,2839.0,13.6492,4
3600,TA,50,15,4,2679.0,160.4269,4
3600,TA,50,15,5,2781.0,141.8736,4
3600,TA,50,15,6,2943.0,60.1199,4
3600,TA,50,15,7,2885.0,68.8,4
3600,TA,50,15,8,2655.0,161.4263,4
3600,TA,50,15,9,2723.0,53.614,4
3600,TA,50,20,0,2868.0,794.6358,4
3600,TA,50,20,1,2912.0,3601.3694,2
3600,TA,50,20,2,2757.0,3601.443,2
3600,TA,50,20,3,2702.0,779.835,4
3600,TA,50,20,4,2725.0,604.6192,4
3600,TA,50,20,5,2845.0,1508.4545,4
3600,TA,50,20,6,2839.0,3601.6538,2
3600,TA,50,20,7,2784.0,198.0831,4
3600,TA,50,20,8,3071.0,129.88,4
3600,TA,50,20,9,2995.0,597.2399,4
3600,TA,100,20,0,5464.0,983.0559,4
3600,TA,100,20,1,5181.0,473.1655,4
3600,TA,100,20,2,5568.0,537.9546,4
3600,TA,100,20,3,5339.0,442.997,4
3600,TA,100,20,4,5392.0,1541.6214,4
3600,TA,100,20,5,5342.0,630.6318,4
3600,TA,100,20,6,5436.0,399.0096,4
3600,TA,100,20,7,5394.0,562.15,4
3600,TA,100,20,8,5358.0,516.8758,4
3600,TA,100,20,9,5183.0,782.0608,4
